
=== C Reference Spectrogram Dump (DSP only) ===
C_REF_BEGIN rows=49 cols=40
C_REF 436 3.437500000 0x405c0000
C_REF 437 3.289062500 0x40528000
C_REF 438 3.382812500 0x40588000
C_REF 439 3.546875000 0x40630000
C_REF 440 1.355468750 0x3fad8000
C_REF 441 1.644531250 0x3fd28000
C_REF 442 1.898437500 0x3ff30000
C_REF 443 1.363281250 0x3fae8000
C_REF 444 1.468750000 0x3fbc0000
C_REF 445 2.093750000 0x40060000
C_REF 446 2.554687500 0x40238000
C_REF 447 1.753906250 0x3fe08000
C_REF 448 2.179687500 0x400b8000
C_REF 449 2.609375000 0x40270000
C_REF 450 1.804687500 0x3fe70000
C_REF 451 2.335937500 0x40158000
C_REF 452 2.429687500 0x401b8000
C_REF 453 2.750000000 0x40300000
C_REF 454 1.882812500 0x3ff10000
C_REF 455 2.343750000 0x40160000
C_REF 456 2.726562500 0x402e8000
C_REF 457 3.062500000 0x40440000
C_REF 458 2.609375000 0x40270000
C_REF 459 2.429687500 0x401b8000
C_REF 460 1.863281250 0x3fee8000
C_REF 461 2.359375000 0x40170000
C_REF 462 2.882812500 0x40388000
C_REF 463 2.570312500 0x40248000
C_REF 464 3.320312500 0x40548000
C_REF 465 3.132812500 0x40488000
C_REF 466 2.906250000 0x403a0000
C_REF 467 2.953125000 0x403d0000
C_REF 468 2.976562500 0x403e8000
C_REF 469 3.242187500 0x404f8000
C_REF 470 3.187500000 0x404c0000
C_REF 471 3.429687500 0x405b8000
C_REF 472 3.351562500 0x40568000
C_REF 473 3.273437500 0x40518000
C_REF 474 3.609375000 0x40670000
C_REF 475 3.296875000 0x40530000
C_REF 476 3.585937500 0x40658000
C_REF 477 3.679687500 0x406b8000
C_REF 478 3.398437500 0x40598000
C_REF 479 3.257812500 0x40508000
C_REF 480 0.732421875 0x3f3b8000
C_REF 481 1.167968750 0x3f958000
C_REF 482 1.062500000 0x3f880000
C_REF 483 1.707031250 0x3fda8000
C_REF 484 2.390625000 0x40190000
C_REF 485 1.960937500 0x3ffb0000
C_REF 486 1.824218750 0x3fe98000
C_REF 487 2.390625000 0x40190000
C_REF 488 1.589843750 0x3fcb8000
C_REF 489 1.792968750 0x3fe58000
C_REF 490 1.117187500 0x3f8f0000
C_REF 491 0.998046875 0x3f7f8000
C_REF 492 1.527343750 0x3fc38000
C_REF 493 1.968750000 0x3ffc0000
C_REF 494 2.492187500 0x401f8000
C_REF 495 2.101562500 0x40068000
C_REF 496 2.437500000 0x401c0000
C_REF 497 2.484375000 0x401f0000
C_REF 498 2.859375000 0x40370000
C_REF 499 2.742187500 0x402f8000
C_REF 500 2.820312500 0x40348000
C_REF 501 2.984375000 0x403f0000
C_REF 502 2.507812500 0x40208000
C_REF 503 2.890625000 0x40390000
C_REF 504 2.664062500 0x402a8000
C_REF 505 3.101562500 0x40468000
C_REF 506 2.960937500 0x403d8000
C_REF 507 2.640625000 0x40290000
C_REF 508 2.789062500 0x40328000
C_REF 509 2.820312500 0x40348000
C_REF 510 3.031250000 0x40420000
C_REF 511 3.531250000 0x40620000
C_REF 512 3.554687500 0x40638000
C_REF 513 3.312500000 0x40540000
C_REF 514 3.015625000 0x40410000
C_REF 515 3.554687500 0x40638000
C_REF 516 3.484375000 0x405f0000
C_REF 517 3.296875000 0x40530000
C_REF 518 3.656250000 0x406a0000
C_REF 519 3.734375000 0x406f0000
C_REF 520 1.941406250 0x3ff88000
C_REF 521 1.238281250 0x3f9e8000
C_REF 522 1.976562500 0x3ffd0000
C_REF 523 1.511718750 0x3fc18000
C_REF 524 2.203125000 0x400d0000
C_REF 525 1.695312500 0x3fd90000
C_REF 526 1.300781250 0x3fa68000
C_REF 527 1.480468750 0x3fbd8000
C_REF 528 1.640625000 0x3fd20000
C_REF 529 1.777343750 0x3fe38000
C_REF 530 1.816406250 0x3fe88000
C_REF 531 2.085937500 0x40058000
C_REF 532 2.078125000 0x40050000
C_REF 533 2.179687500 0x400b8000
C_REF 534 1.914062500 0x3ff50000
C_REF 535 2.171875000 0x400b0000
C_REF 536 2.695312500 0x402c8000
C_REF 537 2.554687500 0x40238000
C_REF 538 2.976562500 0x403e8000
C_REF 539 2.875000000 0x40380000
C_REF 540 2.632812500 0x40288000
C_REF 541 2.773437500 0x40318000
C_REF 542 2.820312500 0x40348000
C_REF 543 3.062500000 0x40440000
C_REF 544 3.062500000 0x40440000
C_REF 545 2.312500000 0x40140000
C_REF 546 2.882812500 0x40388000
C_REF 547 3.500000000 0x40600000
C_REF 548 3.054687500 0x40438000
C_REF 549 3.210937500 0x404d8000
C_REF 550 3.242187500 0x404f8000
C_REF 551 3.734375000 0x406f0000
C_REF 552 3.296875000 0x40530000
C_REF 553 3.695312500 0x406c8000
C_REF 554 3.601562500 0x40668000
C_REF 555 3.484375000 0x405f0000
C_REF 556 3.304687500 0x40538000
C_REF 557 3.250000000 0x40500000
C_REF 558 3.546875000 0x40630000
C_REF 559 3.757812500 0x40708000
C_REF 560 1.851562500 0x3fed0000
C_REF 561 2.484375000 0x401f0000
C_REF 562 2.148437500 0x40098000
C_REF 563 1.070312500 0x3f890000
C_REF 564 1.281250000 0x3fa40000
C_REF 565 1.753906250 0x3fe08000
C_REF 566 2.289062500 0x40128000
C_REF 567 2.789062500 0x40328000
C_REF 568 2.375000000 0x40180000
C_REF 569 2.609375000 0x40270000
C_REF 570 2.367187500 0x40178000
C_REF 571 2.554687500 0x40238000
C_REF 572 2.179687500 0x400b8000
C_REF 573 2.578125000 0x40250000
C_REF 574 2.203125000 0x400d0000
C_REF 575 2.125000000 0x40080000
C_REF 576 2.328125000 0x40150000
C_REF 577 2.500000000 0x40200000
C_REF 578 2.835937500 0x40358000
C_REF 579 3.187500000 0x404c0000
C_REF 580 2.648437500 0x40298000
C_REF 581 2.734375000 0x402f0000
C_REF 582 2.921875000 0x403b0000
C_REF 583 3.281250000 0x40520000
C_REF 584 2.843750000 0x40360000
C_REF 585 3.039062500 0x40428000
C_REF 586 3.242187500 0x404f8000
C_REF 587 2.703125000 0x402d0000
C_REF 588 3.234375000 0x404f0000
C_REF 589 3.296875000 0x40530000
C_REF 590 3.273437500 0x40518000
C_REF 591 3.250000000 0x40500000
C_REF 592 2.898437500 0x40398000
C_REF 593 3.328125000 0x40550000
C_REF 594 2.968750000 0x403e0000
C_REF 595 3.695312500 0x406c8000
C_REF 596 3.515625000 0x40610000
C_REF 597 3.343750000 0x40560000
C_REF 598 3.382812500 0x40588000
C_REF 599 3.718750000 0x406e0000
C_REF 600 1.417968750 0x3fb58000
C_REF 601 1.062500000 0x3f880000
C_REF 602 1.253906250 0x3fa08000
C_REF 603 2.140625000 0x40090000
C_REF 604 2.343750000 0x40160000
C_REF 605 2.257812500 0x40108000
C_REF 606 2.742187500 0x402f8000
C_REF 607 2.968750000 0x403e0000
C_REF 608 1.875000000 0x3ff00000
C_REF 609 1.898437500 0x3ff30000
C_REF 610 1.375000000 0x3fb00000
C_REF 611 2.148437500 0x40098000
C_REF 612 2.304687500 0x40138000
C_REF 613 1.640625000 0x3fd20000
C_REF 614 2.195312500 0x400c8000
C_REF 615 2.382812500 0x40188000
C_REF 616 2.531250000 0x40220000
C_REF 617 2.882812500 0x40388000
C_REF 618 2.804687500 0x40338000
C_REF 619 2.625000000 0x40280000
C_REF 620 2.375000000 0x40180000
C_REF 621 3.070312500 0x40448000
C_REF 622 3.085937500 0x40458000
C_REF 623 3.460937500 0x405d8000
C_REF 624 2.984375000 0x403f0000
C_REF 625 2.976562500 0x403e8000
C_REF 626 3.109375000 0x40470000
C_REF 627 2.687500000 0x402c0000
C_REF 628 2.804687500 0x40338000
C_REF 629 3.062500000 0x40440000
C_REF 630 3.195312500 0x404c8000
C_REF 631 3.500000000 0x40600000
C_REF 632 3.015625000 0x40410000
C_REF 633 3.539062500 0x40628000
C_REF 634 3.781250000 0x40720000
C_REF 635 3.179687500 0x404b8000
C_REF 636 3.195312500 0x404c8000
C_REF 637 3.257812500 0x40508000
C_REF 638 3.687500000 0x406c0000
C_REF 639 3.750000000 0x40700000
C_REF 640 1.917968750 0x3ff58000
C_REF 641 2.125000000 0x40080000
C_REF 642 1.820312500 0x3fe90000
C_REF 643 1.980468750 0x3ffd8000
C_REF 644 2.023437500 0x40018000
C_REF 645 2.375000000 0x40180000
C_REF 646 2.164062500 0x400a8000
C_REF 647 2.664062500 0x402a8000
C_REF 648 2.132812500 0x40088000
C_REF 649 2.265625000 0x40110000
C_REF 650 2.265625000 0x40110000
C_REF 651 2.375000000 0x40180000
C_REF 652 2.406250000 0x401a0000
C_REF 653 2.617187500 0x40278000
C_REF 654 1.921875000 0x3ff60000
C_REF 655 1.871093750 0x3fef8000
C_REF 656 2.460937500 0x401d8000
C_REF 657 2.265625000 0x40110000
C_REF 658 2.140625000 0x40090000
C_REF 659 1.910156250 0x3ff48000
C_REF 660 2.531250000 0x40220000
C_REF 661 2.906250000 0x403a0000
C_REF 662 3.171875000 0x404b0000
C_REF 663 3.054687500 0x40438000
C_REF 664 3.117187500 0x40478000
C_REF 665 2.820312500 0x40348000
C_REF 666 3.437500000 0x405c0000
C_REF 667 3.320312500 0x40548000
